number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
5424,383,4,5,1083.1,1342.0,0.8,126.97,22.18,124.1,74,392,113,139,"President Reagan's Address to the Nation on Arms Reduction and Nuclear Deterrence, November 22, 1982",https://www.youtube.com/watch?v=qJSsONJpSB4
5552,397,4,5,1064.9,1320.8,0.8,123.82,24.08,121.9,72,381,110,134,"President Reagan's Address to the Nation on the Economy, October 13, 1982",https://www.youtube.com/watch?v=LKx1ADToyIs
7239,500,4,5,1389.5,1740.7,0.8,120.48,20.76,119.7,72,395,106,132,"President Reagan's Speech to the Nation on Defense and National Security, March 23, 1983",https://www.youtube.com/watch?v=srtgQdpdArE
5166,481,2,3,1729.2,2176.3,0.8,148.24,44.34,139.4,72,420,118,168,"President Reagan's Remarks to the American Gathering of Jewish Holocaust Survivors on April 11, 1983",https://www.youtube.com/watch?v=Gjrlx3hn7sI
5655,430,3,3,1724.2,2024.1,0.9,128.53,30.72,124.8,72,419,110,140,"President Reagan's Address to the Bundestag, Bonn, Federal Republic of Germany, June 9, 1982",https://www.youtube.com/watch?v=mHQEVdLyYOg
7173,576,4,4,1598.7,2041.6,0.8,119.35,26.23,114.0,72,400,104,128,"President Reagan's Address to British Parliament, June 8, 1982",https://www.youtube.com/watch?v=Gm35tFTtsuc
1866,215,2,4,501.9,757.7,0.7,154.32,58.32,130.4,72,400,110,197,"President Reagan's remarks at the Martin Luther King Jr. Holiday Signing, November 2, 1983",https://www.youtube.com/watch?v=_7Uhe_tqy9k
4489,392,4,5,881.6,1199.8,0.7,120.17,27.48,116.0,71,398,103,132,"President Reagan's Address to the Nation on the Economy, February 5, 1981",https://www.youtube.com/watch?v=ufMyHSj5zpM
9387,537,3,3,2764.8,3280.4,0.8,150.65,50.95,140.3,71,411,116,169,"Ronald Reagan's Inaugural Address, January 20, 1981",https://www.youtube.com/watch?v=zEqVnU-m9dE
784,104,3,5,154.4,258.9,0.6,104.49,12.42,104.0,78,249,96,112,"President Ronald Reagan's Speech on Space Shuttle Challenger, January 28, 1986",https://www.youtube.com/watch?v=ynuDA8A42Ic
3036,236,2,3,953.9,1289.8,0.7,137.95,52.05,116.1,66,400,104,165,"President Reagan at a Memorial Service for the 101st Airborne Div. at Fort Campbell, Dec. 16, 1985",https://www.youtube.com/watch?v=y9QPo5_us98
