number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
6194,312,4,5,1302.5,1479.3,0.9,128.17,32.31,120.2,70,401,109,136,Gemini Your  Glow-Up Was Delayed for YEARS Until Now! Mid June 2025 Tarot,https://www.youtube.com/watch?v=XV0lkEW3wrY
6319,349,4,5,1319.1,1512.0,0.9,127.04,33.38,119.4,77,401,107,135,Aquarius You’re About to Stand Out Like Never Before! Mid June 2025 Tarot,https://www.youtube.com/watch?v=_4kW_Sam4h4
6890,371,4,5,1429.4,1628.1,0.9,128.85,30.39,121.9,71,399,111,137,"Gemini They Thought You’d Fold But This Month, You Flip Everything! July Bonus Tarot",https://www.youtube.com/watch?v=crznYBUNRjA
6733,391,4,5,1378.3,1598.5,0.9,124.45,33.54,116.9,76,399,104,133,Scorpio This One Decision Unlocks Your Entire Future! July Bonus Tarot,https://www.youtube.com/watch?v=gufz2LEj7YY
6821,408,4,5,1410.0,1639.7,0.9,123.37,33.29,115.8,72,415,102,132,Cancer This Isn’t Just A New Chapter! It’s A New Reality! July Bonus Tarot,https://www.youtube.com/watch?v=or2mQaftfF8
6418,346,4,5,1323.1,1514.9,0.9,130.51,32.82,121.9,73,408,111,139,"Leo This Dream Isn’t a Fantasy! It’s Real, Leo! Mid July 2025 Tarot",https://www.youtube.com/watch?v=J7qBf6e2P_Q
6478,328,4,5,1335.9,1519.8,0.9,126.89,32.48,119.3,72,398,107,135,Virgo If You’ve Been Waiting for a Sign! THIS IS IT! August 2025 Tarot,https://www.youtube.com/watch?v=2Cozy-XDt1Q
7331,390,4,5,1496.8,1704.9,0.9,129.46,32.32,121.5,72,419,110,138,Aries They’ve Been Orbiting You for a Reason! Mid July 2025 Tarot,https://www.youtube.com/watch?v=rW6362okst0
6458,402,4,5,1361.1,1572.4,0.9,123.65,31.96,116.6,72,396,104,131,Cancer This Rare Energy Won’t Happen Again Soon! Mid August Bonus Tarot,https://www.youtube.com/watch?v=N3_RWfQ5Mfs
6436,318,4,5,1356.3,1531.3,0.9,124.67,30.07,118.3,73,400,107,131,Virgo Breakthrough! Your Small Step Becomes a Giant Leap! Mid August Bonus Tarot,https://www.youtube.com/watch?v=VQO3jGhiPVA
6625,353,4,5,1390.5,1586.6,0.9,124.54,31.62,117.7,71,398,106,132,Scorpio Drastic Change! You’re Rising From The Ashes Now! Mid August Bonus Tarot,https://www.youtube.com/watch?v=vZiCvF1g-nA
6317,352,4,5,1311.6,1518.2,0.9,125.74,34.09,117.4,78,399,105,134,Scorpio Destiny Calling! You’re Meant To See This Now!  Rest Of 2025 Tarot,https://www.youtube.com/watch?v=bv3OryfcSh4
7162,378,4,5,1479.2,1683.3,0.9,128.82,33.01,120.5,71,400,109,137,Gemini This Opportunity Changes EVERYTHING! Rest Of 2025 Tarot,https://www.youtube.com/watch?v=zFdDvbsKagY
7380,389,4,5,1535.4,1741.9,0.9,125.34,33.82,117.2,70,399,105,134,Taurus Your Life Is About To Look VERY Different! Rest Of 2025 Tarot,https://www.youtube.com/watch?v=H2NVAkYHMos
7671,431,4,5,1643.6,1879.7,0.9,129.78,30.65,122.4,71,401,112,138,Taurus This Manifestation is Happening FAST! Deep Tarot Reading,https://www.youtube.com/watch?v=qcdAuZbAhBk
7812,444,4,5,1639.8,1879.9,0.9,130.75,31.08,123.2,74,399,112,141,Gemini You’re On The Right Path But There's A Twist! Deep Tarot Reading,https://www.youtube.com/watch?v=9DdB7nIz6Uk
8070,440,4,5,1705.5,1939.5,0.9,128.72,31.42,121.1,72,395,110,138,Scorpio You Won’t Believe What’s About To Change For You! Deep Tarot Reading,https://www.youtube.com/watch?v=Xpcdrbl9qNo
6003,341,4,5,1245.9,1431.2,0.9,127.08,31.27,119.6,71,400,108,135,Virgo This Surprise Changes Your Whole Life! July 2025 Tarot,https://www.youtube.com/watch?v=ri2ZlJJ_Mrk
6981,396,4,5,1454.0,1654.8,0.9,127.36,33.28,119.2,76,399,107,136,Pisces You’re Sitting on Gold! It’s Time to Use It! July 2025 Tarot,https://www.youtube.com/watch?v=rHQOAKBEujw
6278,322,4,5,1345.9,1527.4,0.9,128.95,31.92,121.0,71,411,110,136,Libra This Leap Leads To Abundance! Mid June 2025 Tarot,https://www.youtube.com/watch?v=2UyNpuZD-KA
6600,350,4,5,1359.3,1543.2,0.9,127.55,32.95,119.7,77,392,108,136,Taurus You’re Rapidly Creating a Whole New Reality! Mid July 2025 Tarot,https://www.youtube.com/watch?v=K8DaIFV5AC0
