number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
948,84,4,5,198.7,257.6,0.8,218.45,40.93,216.3,76,398,192,244,Jordan Peterson - Why The Idea of Just Accept Yourself! is Nihilistic and Insane,https://www.youtube.com/watch?v=shFbWTEZx_w
1579,150,4,5,309.9,416.2,0.7,183.45,42.84,175.8,69,407,156,202,Jordan Peterson - Intimations of Meaning,https://www.youtube.com/watch?v=k0tWtPQssQA
1021,110,4,5,203.0,269.1,0.8,188.15,42.98,182.5,74,397,158,211,Jordan Peterson - How To Fight Social Anxiety,https://www.youtube.com/watch?v=M8GSf5cYCvE
1308,139,4,5,263.6,338.7,0.8,202.03,43.81,194.7,71,391,172,224,Jordan Peterson - Why You Should Make Your Room Beautiful and Set it Up Properly,https://www.youtube.com/watch?v=vR6-c3j0K_Y
1548,176,4,5,317.0,424.3,0.7,208.15,38.09,204.9,70,415,187,227,Jordan Peterson - What's Your Role In Society,https://www.youtube.com/watch?v=DPkAjOVyvgA
2193,406,3,5,460.1,722.8,0.6,187.42,47.44,181.1,70,421,156,212,Jordan Peterson - How To Stop Rotting Away At Home,https://www.youtube.com/watch?v=JdAKO3b8oLc
1405,113,4,5,298.0,360.8,0.8,167.04,37.09,160.1,70,403,144,181,Jordan Peterson - Daily Structure Keeps You Sane,https://www.youtube.com/watch?v=eLsxXkjqipg
2039,349,3,5,413.6,669.9,0.6,197.62,48.72,188.4,70,418,164,224,Jordan Peterson - The Bitter and Resentful Attitude Towards Life,https://www.youtube.com/watch?v=pS59E2XTnQI
753,77,4,5,150.3,195.3,0.8,188.42,52.72,187.3,70,388,157,218,Jordan Peterson - The Cost of Procrastinating & Wasting Half Your Life,https://www.youtube.com/watch?v=nccvDyjvdps
1194,86,4,5,235.2,285.0,0.8,188.86,56.25,189.1,68,419,155,219,Jordan Peterson - Should You Feel Good About Yourself,https://www.youtube.com/watch?v=Aa8nJk00REs
345,39,4,5,64.6,92.5,0.7,184.53,41.38,177.0,73,419,157,205,Jordan Peterson - Let Go of What is Hurting You,https://www.youtube.com/watch?v=Sq5NDWyjh-g
1103,160,3,5,221.2,315.9,0.7,202.8,50.37,196.2,71,420,166,231,Jordan Peterson - Making Sacrifices For The Future,https://www.youtube.com/watch?v=iqcu_mmKZe8
624,80,3,5,128.0,184.8,0.7,215.96,47.01,209.0,71,392,182,245,Jordan Peterson - Why Young Men are Hungry for Responsibility,https://www.youtube.com/watch?v=njoBZ0PDkPE
1468,185,4,5,293.3,416.8,0.7,222.29,48.33,215.8,73,419,190,248,Jordan Peterson - Go Into the Unknown and Grow Up!,https://www.youtube.com/watch?v=ZTsUn2eJ5To
539,49,4,5,110.4,140.5,0.8,230.89,53.47,229.1,73,422,193,265,Jordan Peterson - fixing small life problems one by one,https://www.youtube.com/watch?v=uOJxcLyg3-Q
719,96,3,5,145.5,215.7,0.7,157.99,50.51,140.8,77,399,127,163,Jordan Peterson - Finding Your True Passion Is A Cliché,https://www.youtube.com/watch?v=mdA1vO2wYkE
