number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
8164,967,3,5,1778.2,2584.9,0.7,168.6,37.58,160.0,71,421,147,181,"Rhythm and Geo-bio-techno-politics—John Protevi, Louisiana State University",https://www.youtube.com/watch?v=px5Y1JSVaBc
9905,1692,3,5,1977.5,3480.9,0.6,157.31,46.38,149.9,69,412,123,182,"How to Better Register the Agency of Things Semiotics, The Tanner Lectures in Human Values",https://www.youtube.com/watch?v=18pYfcbBRL8
1773,96,4,5,368.5,420.3,0.9,118.58,34.19,106.3,71,389,94,138,Endosymbiosis,https://www.youtube.com/watch?v=-FQmAnmLZtE
10394,1075,3,5,2292.0,2992.6,0.8,131.67,28.1,124.2,72,403,117,137,How do psychedelic drugs work on the brain,https://www.youtube.com/watch?v=jT5dZDnJ6J4
1123,143,4,5,220.3,315.5,0.7,119.31,26.0,115.1,75,398,104,128,Thinking Ecology The Mesh 3,https://www.youtube.com/watch?v=BNl6fOd26Q0
4031,249,4,5,793.7,925.5,0.9,146.02,37.12,141.3,71,422,122,166,Tim Morton- Part 1 Wayne Leys Memorial Lecture,https://www.youtube.com/watch?v=gxIsgURxVw4
7844,1151,3,5,1743.0,2829.5,0.6,130.85,35.92,122.1,74,400,106,146,08. Survival in the East,https://www.youtube.com/watch?v=cfXChPJZLZE
10003,921,3,4,2246.4,2909.7,0.8,102.87,18.57,99.7,67,400,92,109,Interview with David Bohm,https://www.youtube.com/watch?v=QI66ZglzcO0
8254,758,4,5,1730.1,2291.3,0.8,129.27,29.7,125.2,79,398,107,146,nature© by Aleppo @ Parckdesign2016 - Timothy Morton,https://www.youtube.com/watch?v=l53WjrmvWxM
9798,667,4,5,2094.3,2438.4,0.9,184.88,51.76,182.2,68,418,166,206,No logo - Naomi Klein,https://www.youtube.com/watch?v=_22In38nHgQ
4911,472,4,5,948.3,1229.6,0.8,119.33,34.22,112.1,63,400,101,126,Stevan Harnad Categorization (0813),https://www.youtube.com/watch?v=PGMR8clP_EQ
8336,889,4,5,1643.8,2278.7,0.7,135.16,36.41,127.5,70,417,113,147,Stevan Harnad Categorization (0913),https://www.youtube.com/watch?v=UZvzvazY54Y
9096,1115,3,5,1895.8,3069.7,0.6,204.64,50.24,196.2,70,423,170,232,Geometrical Snapshots from Ancient Times to Modern Times - Tom M. Apostol - 1152013,https://www.youtube.com/watch?v=6imVZ7ogpAE
10567,1621,3,5,2329.5,3546.3,0.7,132.27,40.8,123.6,61,424,104,149,"Leon Botstein Art Now (Aesthetics Across Music, Painting, Architecture, Movies, and More.)",https://www.youtube.com/watch?v=j6F-sHhmfrY
11278,864,4,5,2478.7,3062.2,0.8,102.38,24.48,96.6,72,402,88,109,Timothy Morton in Conversation with Verso,https://www.youtube.com/watch?v=1AEy2KmHwh0
13149,872,4,5,2726.5,3273.0,0.8,142.35,36.19,133.4,70,404,116,163,4 Symposium Speculations on Anonymous Materials - Iain Hamilton Grant,https://www.youtube.com/watch?v=cMoTh3HpO0E
8101,1308,3,5,1694.8,2731.4,0.6,111.29,40.81,99.0,65,420,90,117,'Every Thing Must Go' James Ladyman in conversation with Raymond Tallis,https://www.youtube.com/watch?v=j96Hls_-Ulc
