number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
14692,405,5,5,2859.1,3032.6,0.9,196.28,63.29,190.7,65,424,153,236,What They Don't Tell You About Kobolds - D&D,https://www.youtube.com/watch?v=eSUBtv9iS-E
12566,601,4,5,2771.9,3035.4,0.9,161.94,50.31,150.7,73,422,126,190,40K Timeline EXPLAINED. Everything You NEED to Know!  Warhammer Lore,https://www.youtube.com/watch?v=B0Z4i1Sl94g
6800,777,3,5,1301.4,1955.0,0.7,126.96,35.51,117.5,69,418,106,136,Explaining Ultrakill's FINAL WAR LORE To A History Nerd,https://www.youtube.com/watch?v=1cbDcJRIpgI
10798,631,4,4,2541.7,3021.0,0.8,145.18,53.29,130.1,67,420,106,170,Your EYES Are AI in This Horror Game [PROXIMATE],https://www.youtube.com/watch?v=W3GwxRO-aQU
12863,53,4,5,2829.0,2872.6,1.0,146.66,42.56,138.4,72,429,118,164,I Watched Ancient Apocalypse So You Don't Have To (Part 3),https://www.youtube.com/watch?v=CdPuOmCiqnw
11561,830,4,5,2405.2,3213.1,0.7,118.31,41.83,108.6,72,424,99,122,Vita Carnis - A Terrifying Analog Horror,https://www.youtube.com/watch?v=Ihp-Ta0wZgo
4197,280,4,5,859.6,980.6,0.9,183.51,48.83,174.4,65,412,155,206,shark facts to use as pickup lines  Lindsay Nikole,https://www.youtube.com/watch?v=r1cqwVlW9BI
4946,63,4,5,1058.9,1116.7,0.9,232.87,55.97,221.0,70,424,195,264,These Sea Slugs EAT SUNLIGHT and RIP THEIR OWN HEADS OFF 🤘🔥🤘  Alien Ocean,https://www.youtube.com/watch?v=Jm7nZMHX2Cs
3409,4,5,5,748.5,754.3,1.0,171.65,48.74,163.9,70,412,142,194,The BLOODY MUTO Lifecycle EXPLAINED,https://www.youtube.com/watch?v=LvurrwtsrXE
11699,504,5,5,2155.7,2394.5,0.9,175.01,56.99,161.1,70,424,129,209,the five kinds of paradox,https://www.youtube.com/watch?v=ppX7Qjbe6BM
4321,282,4,5,878.4,1044.1,0.8,137.88,50.14,125.2,70,414,102,159,Extracting the blue dye in jeans,https://www.youtube.com/watch?v=67kyi5hLnA4
4772,343,4,5,993.6,1182.1,0.8,129.87,42.51,118.9,71,411,99,150,Making color changing plastic,https://www.youtube.com/watch?v=YfjoU1_9GQ8
3446,290,4,4,829.1,951.3,0.9,166.13,36.81,160.0,70,394,142,185,Paleontologist Answers Dinosaur Questions From Twitter  Tech Support  WIRED,https://www.youtube.com/watch?v=YvZPU-KBCiQ
9859,668,4,5,1965.4,2532.9,0.8,151.55,53.25,136.2,71,423,111,180,Analyzing the Lizard - The Complete Guide to Rain World's Lizards,https://www.youtube.com/watch?v=oex_QXIF_Oc
4314,263,4,4,1071.0,1230.2,0.9,121.57,28.34,113.1,73,408,103,132,'Biology' of Horizon Zero Dawn  Part II,https://www.youtube.com/watch?v=8d9_TA1hi9w
4863,212,4,4,1256.7,1385.2,0.9,122.65,28.82,115.2,71,414,104,134,The 'Biology' of Horizon Zero Dawn,https://www.youtube.com/watch?v=Seu7V91vxAo
7840,262,4,5,1677.9,1783.7,0.9,132.25,23.68,128.8,72,418,120,140,"Monster Ecology  Subspecies, rare species, variants and deviants",https://www.youtube.com/watch?v=EKAJBsMY6hI
12403,40,4,4,2833.4,2861.4,1.0,149.35,44.72,140.9,71,430,119,169,I Watched Ancient Apocalypse So You Don't Have To (Part 2),https://www.youtube.com/watch?v=pfNgMAwsPWI
3568,52,4,4,836.7,878.1,1.0,129.02,69.65,101.9,67,424,88,134,The $2.5 Billion Anime Phenomenon,https://www.youtube.com/watch?v=P7ojHxSVaa4
4837,22,5,5,1008.6,1024.1,1.0,164.6,53.12,151.5,68,424,125,194,You can't win against Agnes Tachyon.,https://www.youtube.com/watch?v=OIkzKrPp1EY
3653,406,4,5,779.6,1027.4,0.8,122.46,28.75,115.7,69,401,104,132,Forensics Expert Explains How to Analyze Bloodstain Patterns  WIRED,https://www.youtube.com/watch?v=0jltioeaEyY
