number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,slug,streamUrl,type_id,type_name,socialTitle,recordedOn,language,presenterDisplayName,duration,canonicalUrl,viewedCount,tedcomPercentage,youtubePercentage,podcastsPercentage,tedappsPercentage,publishedAt,id,title
2776,282,3,5,598.5,834.1,0.7,200.6,63.91,194.0,70,421,149,242,tim_urban_inside_the_mind_of_a_master_procrastinator,https://hls.ted.com/project_masters/2597/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Inside the mind of a master procrastinator,2016-02-16,en,Tim Urban,834,https://www.ted.com/talks/tim_urban_inside_the_mind_of_a_master_procrastinator,76535242,0.157,0.789,0.011,0.043,2016-03-15T18:36:59Z,2458,Inside the mind of a master procrastinator
4198,255,4,4,981.4,1151.8,0.9,143.29,51.4,130.2,70,413,108,162,sir_ken_robinson_do_schools_kill_creativity,https://hls.ted.com/project_masters/1253/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Do schools kill creativity?,2006-02-25,en,Sir Ken Robinson,1151,https://www.ted.com/talks/sir_ken_robinson_do_schools_kill_creativity,79367564,0.522,0.348,0.044,0.086,2006-06-27T00:11:00Z,66,Do schools kill creativity?
1006,53,4,4,245.6,279.3,0.9,120.8,38.65,110.4,77,399,98,131,scott_a_mellor_how_thor_got_his_hammer,https://hls.ted.com/project_masters/4922/manifest.m3u8,3,TED-Ed Original,How Thor got his hammer,2019-01-07,en,Scott A. Mellor,279,https://www.ted.com/talks/scott_a_mellor_how_thor_got_his_hammer,14010477,0.006,0.993,0.0,0.001,2019-01-07T18:51:13Z,30180,How Thor got his hammer
1055,51,4,4,247.7,282.9,0.9,120.38,37.15,108.6,68,390,94,136,tony_buffington_why_do_cats_act_so_weird,https://hls.ted.com/project_masters/4601/manifest.m3u8,3,TED-Ed Original,Why do cats act so weird?,2016-04-26,en,Tony Buffington,282,https://www.ted.com/talks/tony_buffington_why_do_cats_act_so_weird,13945675,0.07,0.922,0.0,0.008,2017-09-07T15:54:54Z,2657,Why do cats act so weird?
911,76,3,4,232.3,292.4,0.8,112.09,31.96,102.4,71,396,91,127,lisa_winer_can_you_solve_the_virus_riddle,https://hls.ted.com/project_masters/4844/manifest.m3u8,3,TED-Ed Original,Can you solve the virus riddle?,2017-04-03,en,Lisa Winer,292,https://www.ted.com/talks/lisa_winer_can_you_solve_the_virus_riddle,13769053,0.004,0.996,0.0,0.0,2019-02-22T19:11:01Z,24462,Can you solve the virus riddle?
1722,117,3,4,402.9,598.4,0.7,126.13,34.59,122.4,65,404,109,134,stephen_hawking_questioning_the_universe,https://hls.ted.com/project_masters/974/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Questioning the universe,2008-02-27,en,Stephen Hawking,598,https://www.ted.com/talks/stephen_hawking_questioning_the_universe,13763210,0.232,0.722,0.005,0.041,2008-04-04T01:31:00Z,242,Questioning the universe
3045,271,3,5,654.0,875.6,0.7,211.33,40.41,212.3,72,422,190,235,meg_jay_why_30_is_not_the_new_20,https://hls.ted.com/project_masters/1644/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,مگ جی: چرا ۳۰ سالگی، ۲۰ سالگی جدید نیست,2013-02-28,fa,Meg Jay,875,https://www.ted.com/talks/meg_jay_why_30_is_not_the_new_20,13627095,0.548,0.319,0.034,0.099,2013-05-13T15:08:23Z,1741,مگ جی: چرا ۳۰ سالگی، ۲۰ سالگی جدید نیست
3334,448,3,5,673.7,1061.4,0.6,125.55,36.09,117.2,72,399,101,140,shah_rukh_khan_thoughts_on_humanity_fame_and_love,https://hls.ted.com/project_masters/2859/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,"Thoughts on humanity, fame and love",2017-04-24,en,Shah Rukh Khan,1061,https://www.ted.com/talks/shah_rukh_khan_thoughts_on_humanity_fame_and_love,13694222,0.087,0.791,0.064,0.058,2017-05-11T10:44:40Z,2780,"Thoughts on humanity, fame and love"
972,97,3,5,213.9,280.2,0.8,117.06,32.88,105.7,71,398,93,135,alex_gendler_can_you_solve_the_three_gods_riddle,https://hls.ted.com/project_masters/4836/manifest.m3u8,3,TED-Ed Original,Can you solve the three gods riddle?,2017-02-21,en,Alex Gendler,280,https://www.ted.com/talks/alex_gendler_can_you_solve_the_three_gods_riddle,13576440,0.007,0.99,0.0,0.003,2019-02-12T22:31:46Z,24445,Can you solve the three gods riddle?
2457,241,4,5,495.7,699.8,0.7,112.0,31.16,105.5,78,399,96,118,alex_honnold_how_i_climbed_a_3_000_foot_vertical_cliff_without_ropes,https://hls.ted.com/project_masters/3286/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,"How I climbed a 3,000-foot vertical cliff -- without ropes",2018-04-10,en,Alex Honnold,699,https://www.ted.com/talks/alex_honnold_how_i_climbed_a_3_000_foot_vertical_cliff_without_ropes,13602587,0.054,0.807,0.104,0.035,2018-10-08T14:49:17Z,25671,"How I climbed a 3,000-foot vertical cliff -- without ropes"
1968,153,3,5,389.9,566.8,0.7,159.01,56.81,145.8,71,400,113,194,reggie_watts_beats_that_defy_boxes,https://hls.ted.com/project_masters/1400/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Beats that defy boxes,2012-02-29,en,Reggie Watts,566,https://www.ted.com/talks/reggie_watts_beats_that_defy_boxes,13534649,0.129,0.817,0.013,0.041,2012-05-25T15:00:32Z,1458,Beats that defy boxes
2054,230,4,5,398.7,561.0,0.7,200.54,41.33,193.0,71,417,173,221,cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model,https://hls.ted.com/project_masters/4290/manifest.m3u8?intro_master_id=9294,2,TEDx Talk,"Looks aren't everything. Believe me, I'm a model.",2012-10-27,en,Cameron Russell,560,https://www.ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model,41398343,0.191,0.756,0.006,0.047,2013-01-16T16:05:54Z,1647,"Looks aren't everything. Believe me, I'm a model."
3085,376,3,5,675.9,949.2,0.7,196.03,65.07,183.0,70,423,148,234,nadine_burke_harris_how_childhood_trauma_affects_health_across_a_lifetime,https://hls.ted.com/project_masters/2370/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How childhood trauma affects health across a lifetime,2014-09-10,en,Nadine Burke Harris,949,https://www.ted.com/talks/nadine_burke_harris_how_childhood_trauma_affects_health_across_a_lifetime,13432212,0.329,0.563,0.059,0.049,2015-02-17T15:50:36Z,2194,How childhood trauma affects health across a lifetime
5990,739,3,5,1289.0,1748.0,0.7,138.46,26.14,134.8,71,399,122,150,andrew_solomon_depression_the_secret_we_share,https://hls.ted.com/project_masters/1323/manifest.m3u8?intro_master_id=9294,2,TEDx Talk,"Depression, the secret we share",2013-10-23,en,Andrew Solomon,1747,https://www.ted.com/talks/andrew_solomon_depression_the_secret_we_share,13414821,0.367,0.466,0.044,0.123,2013-12-18T16:01:49Z,1894,"Depression, the secret we share"
985,41,3,4,265.5,291.4,0.9,124.16,37.48,113.7,70,419,98,141,thomas_l_dawson_what_causes_dandruff_and_how_do_you_get_rid_of_it,https://hls.ted.com/project_masters/5955/manifest.m3u8,3,TED-Ed Original,"What causes dandruff, and how do you get rid of it?",2021-02-09,en,Thomas L. Dawson,291,https://www.ted.com/talks/thomas_l_dawson_what_causes_dandruff_and_how_do_you_get_rid_of_it,13398360,0.006,0.994,0.0,0.0,2021-02-09T16:19:08Z,73027,"What causes dandruff, and how do you get rid of it?"
2584,380,3,4,577.6,898.1,0.6,182.77,55.48,175.4,75,423,142,217,ian_bremmer_the_next_global_superpower_isn_t_who_you_think,https://hls.ted.com/project_masters/8549/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,,2023-04-17,en,Ian Bremmer,898,https://www.ted.com/talks/ian_bremmer_the_next_global_superpower_isn_t_who_you_think,13402712,0.025,0.878,0.083,0.014,2023-06-14T14:57:33Z,112608,The next global superpower isn't who you think
1041,72,4,4,236.0,289.3,0.8,113.85,30.17,104.8,71,386,94,128,noah_tavlin_what_makes_something_kafkaesque,https://hls.ted.com/project_masters/8899/manifest.m3u8,3,TED-Ed Original,"What makes something ""Kafkaesque""?",2016-06-20,en,Noah Tavlin,289,https://www.ted.com/talks/noah_tavlin_what_makes_something_kafkaesque,13385206,0.0,1.0,0.0,0.0,2024-09-11T17:59:26Z,24355,"What makes something ""Kafkaesque""?"
